"PA","Time","total","change"
"BUKIT BATOK",2011,143910,-990
"BUKIT BATOK",2012,143310,-600
"BUKIT BATOK",2013,143020,-290
"BUKIT BATOK",2014,142250,-770
"BUKIT BATOK",2015,140000,-2250
"BUKIT BATOK",2016,138850,-1150
"BUKIT BATOK",2017,139100,250
"BUKIT BATOK",2018,145050,5950
"BUKIT BATOK",2019,154590,9540
"BUKIT BATOK",2020,158880,4290
"BUKIT BATOK",2021,161040,2160
"BUKIT BATOK",2022,165280,4240
"BUKIT BATOK",2023,169360,4080
"BUKIT MERAH",2001,146450,-2880
"BUKIT MERAH",2002,145750,-700
"BUKIT MERAH",2003,142170,-3580
"BUKIT MERAH",2004,142620,450
"BUKIT MERAH",2005,143530,910
"BUKIT MERAH",2006,147710,4180
"BUKIT MERAH",2007,151250,3540
"BUKIT MERAH",2008,154310,3060
"BUKIT MERAH",2009,157770,3460
"BUKIT MERAH",2010,158280,510
"BUKIT MERAH",2011,157420,-860
"BUKIT MERAH",2012,158220,800
"BUKIT MERAH",2013,157330,-890
"BUKIT MERAH",2014,157970,640
"BUKIT MERAH",2015,157090,-880
"BUKIT MERAH",2016,155750,-1340
"BUKIT MERAH",2017,154020,-1730
"BUKIT MERAH",2018,153460,-560
"BUKIT MERAH",2019,153540,80
"BUKIT MERAH",2020,152790,-750
"BUKIT MERAH",2021,149350,-3440
"BUKIT MERAH",2022,150630,1280
"BUKIT MERAH",2023,150840,210
"BUKIT PANJANG",2001,107630,10660
"BUKIT PANJANG",2002,112740,5110
"BUKIT PANJANG",2003,114720,1980
"BUKIT PANJANG",2004,118120,3400
"BUKIT PANJANG",2005,120420,2300
"BUKIT PANJANG",2006,121370,950
"BUKIT PANJANG",2007,123100,1730
"BUKIT PANJANG",2008,125320,2220
"BUKIT PANJANG",2009,128110,2790
"BUKIT PANJANG",2010,129530,1420
"BUKIT PANJANG",2011,130050,520
"BUKIT PANJANG",2012,131450,1400
"BUKIT PANJANG",2013,132170,720
"BUKIT PANJANG",2014,133800,1630
"BUKIT PANJANG",2015,139610,5810
"BUKIT PANJANG",2016,142060,2450
"BUKIT PANJANG",2017,142420,360
"BUKIT PANJANG",2018,141340,-1080
"BUKIT PANJANG",2019,139930,-1410
"BUKIT PANJANG",2020,138860,-1070
"BUKIT PANJANG",2021,135210,-3650
"BUKIT PANJANG",2022,137730,2520
"BUKIT PANJANG",2023,139580,1850
"BUKIT TIMAH",2001,66590,1510
"BUKIT TIMAH",2002,67310,720
"BUKIT TIMAH",2003,64700,-2610
"BUKIT TIMAH",2004,66400,1700
"BUKIT TIMAH",2005,68190,1790
"BUKIT TIMAH",2006,70420,2230
"BUKIT TIMAH",2007,71850,1430
"BUKIT TIMAH",2008,70090,-1760
"BUKIT TIMAH",2009,69890,-200
"BUKIT TIMAH",2010,70920,1030
"BUKIT TIMAH",2011,71220,300
"BUKIT TIMAH",2012,72770,1550
"BUKIT TIMAH",2013,73620,850
"BUKIT TIMAH",2014,74330,710
"BUKIT TIMAH",2015,75270,940
"BUKIT TIMAH",2016,76450,1180
"BUKIT TIMAH",2017,77140,690
"BUKIT TIMAH",2018,78080,940
"BUKIT TIMAH",2019,78100,20
"BUKIT TIMAH",2020,78760,660
"BUKIT TIMAH",2021,76720,-2040
"BUKIT TIMAH",2022,79940,3220
"BUKIT TIMAH",2023,82830,2890
"CENTRAL WATER CATCHMENT",2001,0,0
"CENTRAL WATER CATCHMENT",2002,0,0
"CENTRAL WATER CATCHMENT",2003,0,0
"CENTRAL WATER CATCHMENT",2004,0,0
"CENTRAL WATER CATCHMENT",2005,0,0
"CENTRAL WATER CATCHMENT",2006,0,0
"CENTRAL WATER CATCHMENT",2007,0,0
"CENTRAL WATER CATCHMENT",2008,0,0
"CENTRAL WATER CATCHMENT",2009,0,0
"CENTRAL WATER CATCHMENT",2010,0,0
"CENTRAL WATER CATCHMENT",2011,0,0
"CENTRAL WATER CATCHMENT",2012,0,0
"CENTRAL WATER CATCHMENT",2013,0,0
"CENTRAL WATER CATCHMENT",2014,0,0
"CENTRAL WATER CATCHMENT",2015,0,0
"CENTRAL WATER CATCHMENT",2016,0,0
"CENTRAL WATER CATCHMENT",2017,0,0
"CENTRAL WATER CATCHMENT",2018,0,0
"CENTRAL WATER CATCHMENT",2019,0,0
"CENTRAL WATER CATCHMENT",2020,0,0
"CENTRAL WATER CATCHMENT",2021,0,0
"CENTRAL WATER CATCHMENT",2022,0,0
"CENTRAL WATER CATCHMENT",2023,0,0
"CHANGI",2001,950,20
"CHANGI",2002,920,-30
"CHANGI",2003,1200,280
"CHANGI",2004,1240,40
"CHANGI",2005,1270,30
"CHANGI",2006,1360,90
"CHANGI",2007,1390,30
"CHANGI",2008,1500,110
"CHANGI",2009,1760,260
"CHANGI",2010,2090,330
"CHANGI",2011,2400,310
"CHANGI",2012,2390,-10
"CHANGI",2013,2400,10
"CHANGI",2014,2360,-40
"CHANGI",2015,2480,120
"CHANGI",2016,2390,-90
"CHANGI",2017,2110,-280
"CHANGI",2018,2060,-50
"CHANGI",2019,1680,-380
"CHANGI",2020,1710,30
"CHANGI",2021,1780,70
"CHANGI",2022,1640,-140
"CHANGI",2023,1700,60
"CHANGI BAY",2001,0,0
"CHANGI BAY",2002,0,0
"CHANGI BAY",2003,0,0
"CHANGI BAY",2004,0,0
"CHANGI BAY",2005,0,0
"CHANGI BAY",2006,0,0
"CHANGI BAY",2007,0,0
"CHANGI BAY",2008,0,0
"CHANGI BAY",2009,0,0
"CHANGI BAY",2010,0,0
"CHANGI BAY",2011,0,0
"CHANGI BAY",2012,0,0
"CHANGI BAY",2013,0,0
"CHANGI BAY",2014,0,0
"CHANGI BAY",2015,0,0
"CHANGI BAY",2016,0,0
"CHANGI BAY",2017,0,0
"CHANGI BAY",2018,0,0
"CHANGI BAY",2019,0,0
"CHANGI BAY",2020,0,0
"CHANGI BAY",2021,0,0
"CHANGI BAY",2022,0,0
"CHANGI BAY",2023,0,0
"CHOA CHU KANG",2001,146160,8960
"CHOA CHU KANG",2002,152860,6700
"CHOA CHU KANG",2003,155770,2910
"CHOA CHU KANG",2004,158480,2710
"CHOA CHU KANG",2005,161860,3380
"CHOA CHU KANG",2006,164350,2490
"CHOA CHU KANG",2007,166850,2500
"CHOA CHU KANG",2008,169020,2170
"CHOA CHU KANG",2009,172330,3310
"CHOA CHU KANG",2010,173990,1660
"CHOA CHU KANG",2011,174380,390
"CHOA CHU KANG",2012,174740,360
"CHOA CHU KANG",2013,175400,660
"CHOA CHU KANG",2014,175920,520
"CHOA CHU KANG",2015,174920,-1000
"CHOA CHU KANG",2016,179510,4590
"CHOA CHU KANG",2017,187050,7540
"CHOA CHU KANG",2018,188130,1080
"CHOA CHU KANG",2019,191440,3310
"CHOA CHU KANG",2020,192640,1200
"CHOA CHU KANG",2021,189670,-2970
"CHOA CHU KANG",2022,190780,1110
"CHOA CHU KANG",2023,192110,1330
"CLEMENTI",2001,88180,-3280
"CLEMENTI",2002,88500,320
"CLEMENTI",2003,86380,-2120
"CLEMENTI",2004,86280,-100
"CLEMENTI",2005,86520,240
"CLEMENTI",2006,87170,650
"CLEMENTI",2007,87730,560
"CLEMENTI",2008,88560,830
"CLEMENTI",2009,91540,2980
"CLEMENTI",2010,92600,1060
"CLEMENTI",2011,92260,-340
"CLEMENTI",2012,91920,-340
"CLEMENTI",2013,91980,60
"CLEMENTI",2014,91700,-280
"CLEMENTI",2015,92200,500
"CLEMENTI",2016,92310,110
"CLEMENTI",2017,93280,970
"CLEMENTI",2018,93380,100
"CLEMENTI",2019,92880,-500
"CLEMENTI",2020,92410,-470
"CLEMENTI",2021,91480,-930
"CLEMENTI",2022,94330,2850
"CLEMENTI",2023,98710,4380
"DOWNTOWN CORE",2001,3180,-1130
"DOWNTOWN CORE",2002,3150,-30
"DOWNTOWN CORE",2003,3020,-130
"DOWNTOWN CORE",2004,2910,-110
"DOWNTOWN CORE",2005,2880,-30
"DOWNTOWN CORE",2006,2940,60
"DOWNTOWN CORE",2007,2940,0
"DOWNTOWN CORE",2008,2960,20
"DOWNTOWN CORE",2009,3100,140
"DOWNTOWN CORE",2010,3250,150
"DOWNTOWN CORE",2011,3280,30
"DOWNTOWN CORE",2012,3280,0
"DOWNTOWN CORE",2013,3270,-10
"DOWNTOWN CORE",2014,3410,140
"DOWNTOWN CORE",2015,3300,-110
"DOWNTOWN CORE",2016,3250,-50
"DOWNTOWN CORE",2017,1920,-1330
"DOWNTOWN CORE",2018,2110,190
"DOWNTOWN CORE",2019,2280,170
"DOWNTOWN CORE",2020,2550,270
"DOWNTOWN CORE",2021,2720,170
"DOWNTOWN CORE",2022,3570,850
"DOWNTOWN CORE",2023,3810,240
"GEYLANG",2001,116640,-2620
"GEYLANG",2002,115500,-1140
"GEYLANG",2003,112690,-2810
"GEYLANG",2004,112360,-330
"GEYLANG",2005,113520,1160
"GEYLANG",2006,115020,1500
"GEYLANG",2007,117410,2390
"GEYLANG",2008,118720,1310
"GEYLANG",2009,120260,1540
"GEYLANG",2010,120940,680
"GEYLANG",2011,120460,-480
"GEYLANG",2012,119600,-860
"GEYLANG",2013,119790,190
"GEYLANG",2014,119500,-290
"GEYLANG",2015,117130,-2370
"GEYLANG",2016,116180,-950
"GEYLANG",2017,113890,-2290
"GEYLANG",2018,111860,-2030
"GEYLANG",2019,110460,-1400
"GEYLANG",2020,110400,-60
"GEYLANG",2021,107880,-2520
"GEYLANG",2022,109500,1620
"GEYLANG",2023,114970,5470
"HOUGANG",2001,205520,1050
"HOUGANG",2002,206490,970
"HOUGANG",2003,204620,-1870
"HOUGANG",2004,205770,1150
"HOUGANG",2005,207100,1330
"HOUGANG",2006,208870,1770
"HOUGANG",2007,210850,1980
"HOUGANG",2008,213960,3110
"HOUGANG",2009,217080,3120
"HOUGANG",2010,217010,-70
"HOUGANG",2011,217870,860
"HOUGANG",2012,218240,370
"HOUGANG",2013,218710,470
"HOUGANG",2014,220200,1490
"HOUGANG",2015,223060,2860
"HOUGANG",2016,223660,600
"HOUGANG",2017,225170,1510
"HOUGANG",2018,223740,-1430
"HOUGANG",2019,227120,3380
"HOUGANG",2020,228150,1030
"HOUGANG",2021,225570,-2580
"HOUGANG",2022,227610,2040
"HOUGANG",2023,228340,730
"JURONG EAST",2001,88430,-1000
"JURONG EAST",2002,88820,390
"JURONG EAST",2003,86820,-2000
"JURONG EAST",2004,86310,-510
"JURONG EAST",2005,86600,290
"JURONG EAST",2006,86620,20
"JURONG EAST",2007,87030,410
"JURONG EAST",2008,87340,310
"JURONG EAST",2009,88970,1630
"JURONG EAST",2010,88640,-330
"JURONG EAST",2011,87460,-1180
"JURONG EAST",2012,87000,-460
"JURONG EAST",2013,87240,240
"JURONG EAST",2014,86910,-330
"JURONG EAST",2015,85480,-1430
"JURONG EAST",2016,85050,-430
"JURONG EAST",2017,83680,-1370
"JURONG EAST",2018,81410,-2270
"JURONG EAST",2019,79490,-1920
"JURONG EAST",2020,78770,-720
"JURONG EAST",2021,76010,-2760
"JURONG EAST",2022,76800,790
"JURONG EAST",2023,76490,-310
"JURONG WEST",2001,217390,12440
"JURONG WEST",2002,224780,7390
"JURONG WEST",2003,226520,1740
"JURONG WEST",2004,230070,3550
"JURONG WEST",2005,234570,4500
"JURONG WEST",2006,238840,4270
"JURONG WEST",2007,244210,5370
"JURONG WEST",2008,253750,9540
"JURONG WEST",2009,264590,10840
"JURONG WEST",2010,268080,3490
"JURONG WEST",2011,270630,2550
"JURONG WEST",2012,272470,1840
"JURONG WEST",2013,271860,-610
"JURONG WEST",2014,272390,530
"JURONG WEST",2015,273090,700
"JURONG WEST",2016,270970,-2120
"JURONG WEST",2017,268190,-2780
"JURONG WEST",2018,267170,-1020
"JURONG WEST",2019,265450,-1720
"JURONG WEST",2020,263210,-2240
"JURONG WEST",2021,255700,-7510
"JURONG WEST",2022,258700,3000
"JURONG WEST",2023,260340,1640
"KALLANG",2001,90820,-1940
"KALLANG",2002,89560,-1260
"KALLANG",2003,87210,-2350
"KALLANG",2004,87210,0
"KALLANG",2005,88820,1610
"KALLANG",2006,90900,2080
"KALLANG",2007,92950,2050
"KALLANG",2008,95120,2170
"KALLANG",2009,98880,3760
"KALLANG",2010,99890,1010
"KALLANG",2011,102640,2750
"KALLANG",2012,103540,900
"KALLANG",2013,103270,-270
"KALLANG",2014,102890,-380
"KALLANG",2015,101710,-1180
"KALLANG",2016,100810,-900
"KALLANG",2017,102310,1500
"KALLANG",2018,102000,-310
"KALLANG",2019,102100,100
"KALLANG",2020,101880,-220
"KALLANG",2021,99000,-2880
"KALLANG",2022,101300,2300
"KALLANG",2023,101750,450
"LIM CHU KANG",2001,0,-130
"LIM CHU KANG",2002,0,0
"LIM CHU KANG",2003,0,0
"LIM CHU KANG",2004,0,0
"LIM CHU KANG",2005,0,0
"LIM CHU KANG",2006,0,0
"LIM CHU KANG",2007,0,0
"LIM CHU KANG",2008,0,0
"LIM CHU KANG",2009,0,0
"LIM CHU KANG",2010,0,0
"LIM CHU KANG",2011,0,0
"LIM CHU KANG",2012,0,0
"LIM CHU KANG",2013,0,0
"LIM CHU KANG",2014,0,0
"LIM CHU KANG",2015,0,0
"LIM CHU KANG",2016,0,0
"LIM CHU KANG",2017,0,0
"LIM CHU KANG",2018,0,0
"LIM CHU KANG",2019,0,0
"LIM CHU KANG",2020,0,0
"LIM CHU KANG",2021,0,0
"LIM CHU KANG",2022,0,0
"LIM CHU KANG",2023,0,0
"MANDAI",2001,1000,-30
"MANDAI",2002,1240,240
"MANDAI",2003,1460,220
"MANDAI",2004,1490,30
"MANDAI",2005,1520,30
"MANDAI",2006,1560,40
"MANDAI",2007,1480,-80
"MANDAI",2008,1510,30
"MANDAI",2009,1540,30
"MANDAI",2010,1860,320
"MANDAI",2011,2100,240
"MANDAI",2012,2180,80
"MANDAI",2013,2190,10
"MANDAI",2014,2150,-40
"MANDAI",2015,2190,40
"MANDAI",2016,2230,40
"MANDAI",2017,2250,20
"MANDAI",2018,2180,-70
"MANDAI",2019,2170,-10
"MANDAI",2020,2180,10
"MANDAI",2021,2170,-10
"MANDAI",2022,2170,0
"MANDAI",2023,2110,-60
"MARINA EAST",2001,0,0
"MARINA EAST",2002,0,0
"MARINA EAST",2003,0,0
"MARINA EAST",2004,0,0
"MARINA EAST",2005,0,0
"MARINA EAST",2006,0,0
"MARINA EAST",2007,0,0
"MARINA EAST",2008,0,0
"MARINA EAST",2009,0,0
"MARINA EAST",2010,0,0
"MARINA EAST",2011,0,0
"MARINA EAST",2012,0,0
"MARINA EAST",2013,0,0
"MARINA EAST",2014,0,0
"MARINA EAST",2015,0,0
"MARINA EAST",2016,0,0
"MARINA EAST",2017,0,0
"MARINA EAST",2018,0,0
"MARINA EAST",2019,0,0
"MARINA EAST",2020,0,0
"MARINA EAST",2021,0,0
"MARINA EAST",2022,0,0
"MARINA EAST",2023,0,0
"MARINA SOUTH",2001,0,0
"MARINA SOUTH",2002,0,0
"MARINA SOUTH",2003,0,0
"MARINA SOUTH",2004,0,0
"MARINA SOUTH",2005,0,0
"MARINA SOUTH",2006,0,0
"MARINA SOUTH",2007,0,0
"MARINA SOUTH",2008,0,0
"MARINA SOUTH",2009,0,0
"MARINA SOUTH",2010,0,0
"MARINA SOUTH",2011,0,0
"MARINA SOUTH",2012,0,0
"MARINA SOUTH",2013,0,0
"MARINA SOUTH",2014,0,0
"MARINA SOUTH",2015,0,0
"MARINA SOUTH",2016,0,0
"MARINA SOUTH",2017,0,0
"MARINA SOUTH",2018,0,0
"MARINA SOUTH",2019,0,0
"MARINA SOUTH",2020,0,0
"MARINA SOUTH",2021,0,0
"MARINA SOUTH",2022,0,0
"MARINA SOUTH",2023,0,0
"MARINE PARADE",2001,46030,-610
"MARINE PARADE",2002,45450,-580
"MARINE PARADE",2003,43480,-1970
"MARINE PARADE",2004,43250,-230
"MARINE PARADE",2005,44030,780
"MARINE PARADE",2006,44550,520
"MARINE PARADE",2007,45200,650
"MARINE PARADE",2008,45130,-70
"MARINE PARADE",2009,46610,1480
"MARINE PARADE",2010,47510,900
"MARINE PARADE",2011,48470,960
"MARINE PARADE",2012,48780,310
"MARINE PARADE",2013,49140,360
"MARINE PARADE",2014,49290,150
"MARINE PARADE",2015,48990,-300
"MARINE PARADE",2016,48550,-440
"MARINE PARADE",2017,48170,-380
"MARINE PARADE",2018,47410,-760
"MARINE PARADE",2019,46650,-760
"MARINE PARADE",2020,46440,-210
"MARINE PARADE",2021,44920,-1520
"MARINE PARADE",2022,46070,1150
"MARINE PARADE",2023,46940,870
"MUSEUM",2001,0,0
"MUSEUM",2002,0,0
"MUSEUM",2003,0,0
"MUSEUM",2004,0,0
"MUSEUM",2005,0,0
"MUSEUM",2006,0,0
"MUSEUM",2007,0,0
"MUSEUM",2008,10,10
"MUSEUM",2009,30,20
"MUSEUM",2010,50,20
"MUSEUM",2011,70,20
"MUSEUM",2012,120,50
"MUSEUM",2013,90,-30
"MUSEUM",2014,70,-20
"MUSEUM",2015,110,40
"MUSEUM",2016,120,10
"MUSEUM",2017,110,-10
"MUSEUM",2018,120,10
"MUSEUM",2019,160,40
"MUSEUM",2020,220,60
"MUSEUM",2021,270,50
"MUSEUM",2022,300,30
"MUSEUM",2023,520,220
"NEWTON",2001,6130,180
"NEWTON",2002,6520,390
"NEWTON",2003,6130,-390
"NEWTON",2004,6390,260
"NEWTON",2005,6770,380
"NEWTON",2006,6970,200
"NEWTON",2007,6670,-300
"NEWTON",2008,5790,-880
"NEWTON",2009,5950,160
"NEWTON",2010,6220,270
"NEWTON",2011,6230,10
"NEWTON",2012,6350,120
"NEWTON",2013,6450,100
"NEWTON",2014,6480,30
"NEWTON",2015,6770,290
"NEWTON",2016,7030,260
"NEWTON",2017,7220,190
"NEWTON",2018,7630,410
"NEWTON",2019,8070,440
"NEWTON",2020,8380,310
"NEWTON",2021,8230,-150
"NEWTON",2022,9080,850
"NEWTON",2023,9650,570
"NORTH-EASTERN ISLANDS",2001,0,0
"NORTH-EASTERN ISLANDS",2002,0,0
"NORTH-EASTERN ISLANDS",2003,0,0
"NORTH-EASTERN ISLANDS",2004,0,0
"NORTH-EASTERN ISLANDS",2005,0,0
"NORTH-EASTERN ISLANDS",2006,0,0
"NORTH-EASTERN ISLANDS",2007,0,0
"NORTH-EASTERN ISLANDS",2008,0,0
"NORTH-EASTERN ISLANDS",2009,0,0
"NORTH-EASTERN ISLANDS",2010,0,0
"NORTH-EASTERN ISLANDS",2011,0,0
"NORTH-EASTERN ISLANDS",2012,0,0
"NORTH-EASTERN ISLANDS",2013,0,0
"NORTH-EASTERN ISLANDS",2014,0,0
"NORTH-EASTERN ISLANDS",2015,0,0
"NORTH-EASTERN ISLANDS",2016,0,0
"NORTH-EASTERN ISLANDS",2017,0,0
"NORTH-EASTERN ISLANDS",2018,0,0
"NORTH-EASTERN ISLANDS",2019,0,0
"NORTH-EASTERN ISLANDS",2020,0,0
"NORTH-EASTERN ISLANDS",2021,0,0
"NORTH-EASTERN ISLANDS",2022,0,0
"NORTH-EASTERN ISLANDS",2023,0,0
"NOVENA",2001,42260,-810
"NOVENA",2002,41880,-380
"NOVENA",2003,40710,-1170
"NOVENA",2004,41140,430
"NOVENA",2005,43160,2020
"NOVENA",2006,44780,1620
"NOVENA",2007,45500,720
"NOVENA",2008,45260,-240
"NOVENA",2009,46330,1070
"NOVENA",2010,46910,580
"NOVENA",2011,47220,310
"NOVENA",2012,47260,40
"NOVENA",2013,48020,760
"NOVENA",2014,48050,30
"NOVENA",2015,48310,260
"NOVENA",2016,47920,-390
"NOVENA",2017,48710,790
"NOVENA",2018,49110,400
"NOVENA",2019,49560,450
"NOVENA",2020,49610,50
"NOVENA",2021,49130,-480
"NOVENA",2022,50850,1720
"NOVENA",2023,51760,910
"ORCHARD",2001,140,20
"ORCHARD",2002,160,20
"ORCHARD",2003,140,-20
"ORCHARD",2004,180,40
"ORCHARD",2005,140,-40
"ORCHARD",2006,160,20
"ORCHARD",2007,160,0
"ORCHARD",2008,170,10
"ORCHARD",2009,290,120
"ORCHARD",2010,300,10
"ORCHARD",2011,310,10
"ORCHARD",2012,380,70
"ORCHARD",2013,450,70
"ORCHARD",2014,460,10
"ORCHARD",2015,430,-30
"ORCHARD",2016,450,20
"ORCHARD",2017,520,70
"ORCHARD",2018,550,30
"ORCHARD",2019,450,-100
"ORCHARD",2020,450,0
"ORCHARD",2021,320,-130
"ORCHARD",2022,590,270
"ORCHARD",2023,730,140
"OUTRAM",2001,19840,-2620
"OUTRAM",2002,17760,-2080
"OUTRAM",2003,16410,-1350
"OUTRAM",2004,16060,-350
"OUTRAM",2005,15850,-210
"OUTRAM",2006,15980,130
"OUTRAM",2007,16980,1000
"OUTRAM",2008,17100,120
"OUTRAM",2009,17360,260
"OUTRAM",2010,19920,2560
"OUTRAM",2011,21760,1840
"OUTRAM",2012,22140,380
"OUTRAM",2013,22360,220
"OUTRAM",2014,22260,-100
"OUTRAM",2015,22080,-180
"OUTRAM",2016,21460,-620
"OUTRAM",2017,20860,-600
"OUTRAM",2018,20220,-640
"OUTRAM",2019,18920,-1300
"OUTRAM",2020,18380,-540
"OUTRAM",2021,17580,-800
"OUTRAM",2022,17420,-160
"OUTRAM",2023,17290,-130
"PASIR RIS",2001,120030,3050
"PASIR RIS",2002,121750,1720
"PASIR RIS",2003,121260,-490
"PASIR RIS",2004,121650,390
"PASIR RIS",2005,122950,1300
"PASIR RIS",2006,125280,2330
"PASIR RIS",2007,127870,2590
"PASIR RIS",2008,130290,2420
"PASIR RIS",2009,132300,2010
"PASIR RIS",2010,134100,1800
"PASIR RIS",2011,134030,-70
"PASIR RIS",2012,136180,2150
"PASIR RIS",2013,137150,970
"PASIR RIS",2014,137890,740
"PASIR RIS",2015,140290,2400
"PASIR RIS",2016,143290,3000
"PASIR RIS",2017,145230,1940
"PASIR RIS",2018,147250,2020
"PASIR RIS",2019,148490,1240
"PASIR RIS",2020,147320,-1170
"PASIR RIS",2021,145100,-2220
"PASIR RIS",2022,146410,1310
"PASIR RIS",2023,147520,1110
"PAYA LEBAR",2001,0,0
"PAYA LEBAR",2002,0,0
"PAYA LEBAR",2003,0,0
"PAYA LEBAR",2004,0,0
"PAYA LEBAR",2005,0,0
"PAYA LEBAR",2006,0,0
"PAYA LEBAR",2007,0,0
"PAYA LEBAR",2008,0,0
"PAYA LEBAR",2009,0,0
"PAYA LEBAR",2010,0,0
"PAYA LEBAR",2011,0,0
"PAYA LEBAR",2012,0,0
"PAYA LEBAR",2013,0,0
"PAYA LEBAR",2014,0,0
"PAYA LEBAR",2015,0,0
"PAYA LEBAR",2016,0,0
"PAYA LEBAR",2017,0,0
"PAYA LEBAR",2018,0,0
"PAYA LEBAR",2019,0,0
"PAYA LEBAR",2020,0,0
"PAYA LEBAR",2021,0,0
"PAYA LEBAR",2022,0,0
"PAYA LEBAR",2023,0,0
"PIONEER",2001,0,NA
"PIONEER",2002,0,0
"PIONEER",2003,0,0
"PIONEER",2004,0,0
"PIONEER",2005,0,0
"PIONEER",2006,0,0
"PIONEER",2007,0,0
"PIONEER",2008,0,0
"PIONEER",2009,0,0
"PIONEER",2010,0,0
"PIONEER",2011,0,0
"PIONEER",2012,0,0
"PIONEER",2013,0,0
"PIONEER",2014,0,0
"PIONEER",2015,0,0
"PIONEER",2016,0,0
"PIONEER",2017,0,0
"PIONEER",2018,0,0
"PIONEER",2019,0,0
"PIONEER",2020,0,0
"PIONEER",2021,0,0
"PIONEER",2022,0,0
"PIONEER",2023,0,0
"PUNGGOL",2001,440,410
"PUNGGOL",2002,12600,12160
"PUNGGOL",2003,24270,11670
"PUNGGOL",2004,36340,12070
"PUNGGOL",2005,42550,6210
"PUNGGOL",2006,46820,4270
"PUNGGOL",2007,51020,4200
"PUNGGOL",2008,54600,3580
"PUNGGOL",2009,56880,2280
"PUNGGOL",2010,59440,2560
"PUNGGOL",2011,64710,5270
"PUNGGOL",2012,74820,10110
"PUNGGOL",2013,88140,13320
"PUNGGOL",2014,98080,9940
"PUNGGOL",2015,109870,11790
"PUNGGOL",2016,130490,20620
"PUNGGOL",2017,146730,16240
"PUNGGOL",2018,161710,14980
"PUNGGOL",2019,170830,9120
"PUNGGOL",2020,174710,3880
"PUNGGOL",2021,176720,2010
